BAC02R645	59394
BAC02R673	20610
BAC02R813	34243
BAC02R1038	77044
BAC02R1152	86952
BAC02R1394	113148
BAC02R1509	30528
BAC02R1570	34428
BAC02R1623	71105
BAC02R1893	111872
BAC02R1972	73363
BAC02R2221	69607
BAC02R2336	112210
BAC02R2692	48986
BAC02R2759	31583
BAC02R2987	31606
BAC02R3134	86983
BAC02R3222	32577
BAC02R3259	111522
BAC02R3282	113396
BAC02R3422	112843
BAC02R3639	62948
BAC02R3645	32009
BAC02R3647	31661
BAC02R3661	112260
BAC02R3796	48971
BAC02R3949	36316
BAC02R4049	65676
BAC02R4082	70368
BAC02R4516	112706
BAC02R4632	113311
BAC02R4787	31458
BAC02R4828	32198
BAC02R5017	47404
BAC02R5033	62213
BAC02R5043	77700
BAC02R5200	100059
BAC02R5225	112458
BAC02R5285	45080
BAC02R5290	72746
BAC02R5496	33110
BAC02R5572	93281
BAC02R5781	31460
BAC02R5789	78127
BAC02R5872	112785
BAC02R5988	30729
BAC02R6142	112809
BAC02R6178	112111
BAC02R6201	112994
BAC02R6278	83360
BAC02R6376	48255
BAC02R6460	46955
BAC02R6514	34154
BAC02R6585	63466
BAC02R6761	89439
BAC02R6918	30181
BAC02R6976	92882
BAC02R7054	97144
BAC02R7106	45068
BAC02R7468	112734
BAC02R7566	37970
BAC02R7697	42063
BAC02R7727	111468
BAC02R8011	86325
BAC02R8096	39883
BAC02R8176	32999
BAC02R8234	40738
BAC02R8320	70117
BAC02R8339	99729
BAC02R8663	34656
BAC02R8903	42509
BAC02R8981	52237
BAC02R8984	63318
BAC02R8995	107209
BAC02R9085	31251
BAC02R9099	37044
BAC02R9382	112057
BAC02R9707	47118
BAC02R10026	31786
BAC02R10056	113105
BAC02R10128	24533
BAC02R10298	75709
BAC02R10469	31734
BAC02R10866	33072
BAC02R10920	21346
BAC02R11124	83752
BAC02R11161	40532
BAC02R11272	33305
BAC02R11358	105049
BAC02R11399	31532
BAC02R11467	112263
BAC02R11477	30240
BAC02R11758	99521
BAC02R11811	44257
BAC02R11830	37356
BAC02R12026	113084
BAC02R12468	85756
BAC02R12596	94443
BAC02R12716	85697
BAC02R12757	112427
BAC02R12860	112895
BAC02R12864	54213
BAC02R12868	33278
BAC02R13008	112248
BAC02R13113	111077
BAC02R13121	64501
BAC02R13772	112946
BAC02R13851	112091
BAC02R14005	46015
BAC02R14180	91237
BAC02R14196	37625
BAC02R14294	31634
BAC02R14295	33446
BAC02R14589	34370
BAC02R14898	41341
BAC02R14958	45750
BAC02R15010	32498
BAC02R15153	61119
BAC02R15187	31786
BAC02R15675	51597
BAC02R15722	80734
BAC02R15843	32727
BAC02R15894	132586
BAC02R16139	112663
BAC02R16946	84905
BAC02R16954	37523
BAC02R17066	50057
BAC02R17216	39143
BAC02R17348	64731
BAC02R17399	44698
BAC02R17441	53222
BAC02R17631	49279
BAC02R17666	32103
BAC02R17819	51570
BAC02R18482	50019
BAC02R18606	58385
BAC02R18676	42915
BAC02R18810	92657
BAC02R18919	64907
BAC02R19084	108788
BAC02R19267	52732
BAC02R19978	47986
BAC02R20002	70331
BAC02R20253	108214
BAC02R20329	41636
BAC02R20551	64571
BAC02R20643	112476
BAC02R20794	113030
BAC02R20844	113223
BAC02R20891	55624
BAC02R20958	111842
BAC02R21026	43033
BAC02R21321	53440
BAC02R21438	112287
BAC02R21490	112107
BAC02R21975	47683
BAC02R22285	42378
BAC02R22326	69112
BAC02R22388	113107
BAC02R22399	54520
BAC02R22485	56027
BAC02R22690	30157
BAC02R22766	44860
BAC02R23113	60661
BAC02R23221	59041
BAC02R23518	66677
BAC02R23549	55192
BAC02R23773	112568
BAC02R23911	70601
BAC02R24524	42414
BAC02R24858	91831
BAC02R25049	40559
BAC02R25230	31487
BAC02R25466	43252
